出発日,出発曜日,旅作最低金額,検索日,発方面,着方面,発空港,着空港,旅作往路経由地情報,旅作復路経由地情報,旅作往路便番号,旅作復路便番号,旅作往路出発時刻,旅作復路出発時刻,旅作プラン名,旅作部屋タイプ,旅作食事条件,都道府県,地区,施設名,宿泊形態,利用人数
20251128,金,55800,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251128,金,60900,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251129,土,お探しの宿泊施設は見つかりませんでした。,20251121,関西,九州,伊丹,福岡,,,,,,,-,,,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251129,土,103300,20251121,関西,九州,伊丹,福岡,,,0429,0420,2005,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251130,日,56800,20251121,関西,九州,伊丹,福岡,,,0421,0420,0815,0710,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251130,日,59600,20251121,関西,九州,伊丹,福岡,,,0421,0420,0815,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251201,月,53400,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,ツイン,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251201,月,52100,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251202,火,53600,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251202,火,52100,20251121,関西,九州,伊丹,福岡,,,0421,0430,0810,1910,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251203,水,53600,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251203,水,52100,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251204,木,56400,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251204,木,56800,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251205,金,212700,20251121,関西,九州,伊丹,福岡,,,0429,0428,2005,1745,【レイトチェックアウト１３時】素泊り,ツイン,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251205,金,100600,20251121,関西,九州,伊丹,福岡,,,0429,0428,2005,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251206,土,207200,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【レイトチェックアウト１３時】素泊り,ツイン,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251206,土,113900,20251121,関西,九州,伊丹,福岡,,,0421,0420,0810,0710,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251207,日,70700,20251121,関西,九州,伊丹,福岡,,,0421,3168,0810,0850,地下鉄「中洲川端駅」より徒歩２分、博多駅や天神、イベント会場へのアクセスに便利なホテル【素泊り】,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251207,日,72600,20251121,関西,九州,伊丹,福岡,,,0421,3168,0810,0850,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251208,月,46800,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251208,月,42600,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
20251209,火,45400,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【食事なし】☆期間限定スペシャル☆九州,シングル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,博多エクセルホテル東急,1泊2日,1名1室
20251209,火,50000,20251121,関西,九州,伊丹,福岡,,,0421,0428,0810,1745,【ベストプラン／素泊まり】地下鉄天神駅から徒歩３分！お得に宿泊♪,ダブル,食事なし,福岡県,福岡市（博多駅周辺・天神周辺）,ホテルマイステイズ福岡天神,1泊2日,1名1室
